,업종코드,표준산업업종명,데이터업종명
0,'G47217,건강보조식품 소매업,건강보조식품 소매업
1,'R91121,골프장 운영업,골프장 운영업
2,'G47215,"채소, 과실 및 뿌리작물 소매업",과실 및 채소 소매업
3,'G47842,"기념품, 관광 민예품 및 장식용품 소매업",관광 민예품 및 선물용품 소매업
4,'R91139,그 외 기타 스포츠시설 운영업,그외 기타 스포츠시설 운영업
4,'R91199,그 외 기타 스포츠 서비스업,그외 기타 스포츠시설 운영업
5,'G4719,그 외 기타 종합 소매업,그외 기타 종합 소매업
6,'G4711,대형 종합 소매업,기타 대형 종합 소매업
7,'I56129,기타 외국식 음식점업,기타 외국식 음식점업
8,'I56219,기타 주점업,기타 주점업
9,'G47129,기타 음ㆍ식료품 위주 종합 소매업,기타음식료품위주종합소매업
10,'S96122,마사지업,마사지업
11,'I5622,비알코올 음료점업,비알콜 음료점업
12,'G47216,"빵류, 과자류 및 당류 소매업",빵 및 과자류 소매업
13,'I56123,서양식 음식점업,서양식 음식점업
14,'G47214,"신선, 냉동 및 기타 수산물 소매업",수산물 소매업
15,'G47121,슈퍼마켓,슈퍼마켓
16,'N7621,스포츠 및 레크리에이션 용품 임대업,스포츠 및 레크레이션 용품 임대업
17,'I55102,여관업,여관업
18,'S96121,욕탕업,욕탕업
19,'G47212,육류 소매업,육류 소매업
20,'I56211,일반 유흥주점업,일반유흥 주점업
21,'I56122,일식 음식점업,일식 음식점업
22,'N75992,"전시, 컨벤션 및 행사 대행업",전시 및 행사 대행업
23,'I56121,중식 음식점업,중식 음식점업
24,'G47712,운송장비용 가스 충전업,차량용 가스 충전업
25,'G47711,운송장비용 주유소 운영업,차량용 주유소 운영업
26,'G47122,체인화 편의점,체인화 편의점
27,'I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",피자 햄버거 샌드위치 및 유사 음식점업
28,'I5611,한식 음식점업,한식 음식점업
29,'I55101,호텔업,호텔업
30,'G47813,"화장품, 비누 및 방향제 소매업",화장품 및 방향제 소매업
31,'I55103,휴양콘도 운영업,휴양콘도 운영업
32,'N7521,여행사업,여행사업
33,'N7611,자동차 임대업,자동차 임대업
34,'G4713,면세점,면세점
35,'H4922,시외버스 운송업,버스 운송업
35,'H49212,시내버스 운송업,버스 운송업
35,'H49232,전세버스 운송업,버스 운송업
36,'H49231,택시 운송업,택시 운송업
37,'R91239,기타 수상오락 서비스업,기타 수상오락 서비스업
38,'H50121,내항 여객 운송업,내항 여객 운송업
39,'R91299,그 외 기타 분류 안된 오락관련 서비스업,그외 기타 분류안된 오락관련 서비스업
40,'H51,항공 운송업,정기 항공 운송업
