,JPN_gdp,KOR_gdp,USA_gdp,EA17_gdp,OECD_gdp
2019-01-01,2.54054528361335,-1.3518694936356102,3.0961395462358796,2.07513960856931,2.58458109197712
2019-02-01,2.54054528361335,-1.3518694936356102,3.0961395462358796,2.07513960856931,2.58458109197712
2019-03-01,2.54054528361335,-1.3518694936356102,3.0961395462358796,2.07513960856931,2.58458109197712
2019-04-01,2.12289592170912,4.11869798544649,2.01381860989409,0.408935976052779,1.6465869069811299
2019-05-01,2.12289592170912,4.11869798544649,2.01381860989409,0.408935976052779,1.6465869069811299
2019-06-01,2.12289592170912,4.11869798544649,2.01381860989409,0.408935976052779,1.6465869069811299
2019-07-01,0.00912654068445842,1.5102994075976799,2.1035065818897096,1.2238663359183701,1.6138387834288799
2019-08-01,0.00912654068445842,1.5102994075976799,2.1035065818897096,1.2238663359183701,1.6138387834288799
2019-09-01,0.00912654068445842,1.5102994075976799,2.1035065818897096,1.2238663359183701,1.6138387834288799
2019-10-01,-7.25941445376598,5.35064829372257,2.12662950408689,0.2480637900791,0.62637009144299
2019-11-01,-7.25941445376598,5.35064829372257,2.12662950408689,0.2480637900791,0.62637009144299
2019-12-01,-7.25941445376598,5.35064829372257,2.12662950408689,0.2480637900791,0.62637009144299
2020-01-01,-3.37236808845425,-5.0290800572837995,-5.047090771825831,-13.5793802694439,-7.086410153688309
2020-02-01,-3.37236808845425,-5.0290800572837995,-5.047090771825831,-13.5793802694439,-7.086410153688309
2020-03-01,-3.37236808845425,-5.0290800572837995,-5.047090771825831,-13.5793802694439,-7.086410153688309
2020-04-01,-33.320846106030395,-14.996605483029,-41.3840608012117,-48.718032683394206,-43.11390472635261
2020-05-01,-33.320846106030395,-14.996605483029,-41.3840608012117,-48.718032683394206,-43.11390472635261
2020-06-01,-33.320846106030395,-14.996605483029,-41.3840608012117,-48.718032683394206,-43.11390472635261
2020-07-01,27.016943030641198,9.919523481863779,18.793900047658102,51.37339219812161,29.3512692913516
